Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target
353	MEAF6	none	25674	MYST/Esa1-associated factor 6	64769	Q9HAF1	EAF6_HUMAN	NuA4 PF09340 16-97	Meaf6	1917338	Q2VPQ9	EAF6_MOUSE	none	none	Histone modification write cofactor	Histone acetylation	18794358	"HBO1, NuA4, MOZ/MORF"	histone	"H2A, H3K14, H4K5, H4K8, H4K12"	"H2Aac, H3K14ac, H4K5ac, H4K8ac, H4K12ac"	none	18794358
354	MECP2	none	6990	methyl CpG binding protein 2	4204	P51608	MECP2_HUMAN	MBD PF01429 90-164	Mecp2	99918	Q9Z2D6	MECP2_MOUSE	none	none	"Histone modification write cofactor, Histone modification write cofactor, TF"	"Histone methylation, Histone acetylation, TF repressor"	10773092	none	DNA	"mCG, DNA motif"	none	none	10773092
355	MEN1	none	7010	multiple endocrine neoplasia I	4221	O00255	MEN1_HUMAN	Menin PF05053 1-615	Men1	1316736	O88559	MEN1_MOUSE	none	none	Histone modification write cofactor	Histone methylation	14992727	"Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7"	histone	H3K4	H3K4me	none	"14992727, 15199122"
356	MGA	none	14010	"MGA, MAX dimerization protein"	23269	Q8IWI9	MGAP_HUMAN	"HLH PF00010 2385-2436, Pfam-B_11518 PB011518 378-497, Pfam-B_24878 PB024878 2971-3008, Pfam-B_591 PB000591 979-1080 1332-1376, Pfam-B_7320 PB007320 1791-1938, Pfam-B_80122 PB080122 1-39, Pfam-B_8542 PB008542 653-837, T-box PF00907 76-261"	Mga	1352483	A2AWL7	MGAP_MOUSE	none	none	"Histone modification write cofactor, TF"	"Histone methylation, Histone acetylation, TF activator, TF repressor"	none	"RING2-L3MBTL2, CHD8, MLL2/3, MLL4/WBP7"	DNA	DNA motif	none	none	none
357	MGEA5	none	7056	meningioma expressed antigen 5 (hyaluronidase)	10724	O60502	NCOAT_HUMAN	"NAGidase PF07555 62-364, Pfam-B_15148 PB015148 851-895"	Mgea5	1932139	Q9EQQ9	NCOAT_MOUSE	none	none	Histone modification write	Histone acetylation	15485860	none	histone	"H3K14, H4K8"	"H3K14ac, H4K8ac"	none	15485860
358	MINA	none	19441	MYC induced nuclear antigen	84864	Q8IUF8	MINA_HUMAN	Cupin_4 PF08007 51-364	Mina	1914264	Q8CD15	MINA_MOUSE	none	none	Histone modification erase	Histone methylation	19502796	none	histone	H3K9me3	H3K9	none	19502796
359	MLLT1	none	7134	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1"	4298	Q03111	ENL_HUMAN	YEATS PF03366 29-112	Mllt1	1927238	none	none	none	none	Chromatin remodeling cofactor	none	23623499	"SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB"	chromatin	none	none	none	23623499
360	MLLT10	none	16063	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10"	8028	P55197	AF10_HUMAN	"PHD_2 PF13831 36-72, Pfam-B_12689 PB012689 541-619, Pfam-B_12729 PB012729 821-879, Pfam-B_4074 PB004074 234-538, Pfam-B_6933 PB006933 721-819, Pfam-B_9291 PB009291 621-719, zf-HC5HC2H_2 PF13832 80-197"	Mllt10	1329038	O54826	AF10_MOUSE	PHF	"Zinc fingers, PHD-type"	Histone modification write cofactor	Histone methylation	20203130	none	histone	H3K79	H3K79me3	none	20203130
361	MLLT6	none	7138	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6"	4302	P55198	AF17_HUMAN	"Pfam-B_16181 PB016181 791-1091, Pfam-B_3448 PB003448 551-789, zf-HC5HC2H_2 PF13832 63-180"	Mllt6	1935145	none	none	PHF	"Zinc fingers, PHD-type"	Histone modification write cofactor	Histone methylation	20203130	none	histone	H3K79	H3K79me3	none	20203130
362	MORF4L1	none	16989	mortality factor 4 like 1	10933	Q9UBU8	MO4L1_HUMAN	"MRG PF05712 166-350, Tudor-knot PF11717 11-53"	Morf4l1	1096551	P60762	MO4L1_MOUSE	none	none	Histone modification read	none	21423274	NuA4	histone	H4	none	none	21423274
363	MORF4L2	none	16849	mortality factor 4 like 2	9643	Q15014	MO4L2_HUMAN	"MRG PF05712 93-276, Pfam-B_26706 PB026706 1-39"	Morf4l2	1927167	Q9R0Q4	MO4L2_MOUSE	none	none	Histone modification erase cofactor	Histone acetylation	12963728	NuA4	histone	none	none	none	12963728
364	MOV10	New	7200	Mov10 RISC complex RNA helicase	4343	Q9HCE1	MOV10_HUMAN	"AAA_11 PF13086 498-605 599-691, AAA_12 PF13087 698-923, Pfam-B_18178 PB018178 1-114"	Mov10	97054	P23249	MOV10_MOUSE	none	none	none	none	20543829	none	histone	none	none	none	none
365	MPHOSPH8	none	29810	M-phase phosphoprotein 8	54737	Q99549	MPP8_HUMAN	"Ank_2 PF12796 570-664 647-730, Chromo PF00385 59-109"	Mphosph8	1922589	Q3TYA6	MPP8_MOUSE	ANKRD	Ankyrin repeat domain containing	Histone modification read	none	21419134	none	histone	"H3K9me3, H3K9me2"	none	none	21419134
366	MRGBP	none	15866	MRG/MORF4L binding protein	55257	Q9NV56	MRGBP_HUMAN	Eaf7 PF07904 34-114	Mrgbp	1920497	Q9DAT2	MRGBP_MOUSE	none	none	Histone modification write cofactor	Histone acetylation	12963728	NuA4	histone	none	none	none	12963728
367	MSH6	none	7329	mutS homolog 6	2956	P52701	MSH6_HUMAN	"MutS_I PF01624 407-526, MutS_II PF05188 537-703, MutS_III PF05192 737-1065, MutS_IV PF05190 932-1024, MutS_V PF00488 1074-1326, PWWP PF00855 90-182"	Msh6	1343961	P54276	MSH6_MOUSE	none	none	Histone modification read	none	21423274	none	histone	H3K36me3	none	none	"21423274, 23622243"
368	MSL1	none	27905	male-specific lethal 1 homolog (Drosophila)	339287	Q68DK7	MSL1_HUMAN	"PEHE PF15275 473-591, Pfam-B_41610 PB041610 41-129, Pfam-B_70275 PB070275 1-39"	Msl1	1921276	Q6PDM1	MSL1_MOUSE	none	none	Histone modification write	Histone ubiquitination	21726816	none	histone	H2BK34	H2BK34ub	none	21726816
369	MSL2	none	25544	male-specific lethal 2 homolog (Drosophila)	55167	Q9HCI7	MSL2_HUMAN	"Pfam-B_16851 PB016851 461-575, Pfam-B_19348 PB019348 1-89, Pfam-B_20099 PB020099 211-459, Pfam-B_22844 PB022844 91-209"	Msl2	1925103	Q69ZF8	MSL2_MOUSE	RNF	RING-type (C3HC4) zinc fingers	Histone modification write	Histone ubiquitination	21726816	none	histone	H2BK34	H2BK34ub	none	21726816
370	MSL3	none	7370	male-specific lethal 3 homolog (Drosophila)	10943	Q8N5Y2	MS3L1_HUMAN	"MRG PF05712 136-504, Tudor-knot PF11717 11-74"	Msl3	1341851	Q9WVG9	MS3L1_MOUSE	none	none	Histone modification read	none	20943666	none	histone	H4K20me1	none	none	20943666
371	MST1	New	7380	macrophage stimulating 1 (hepatocyte growth factor-like)	4485	P26927	HGFL_HUMAN	"Kringle PF00051 110-186 191-268 283-361 370-448, PAN_1 PF00024 16-106, Trypsin PF00089 484-704"	Mst1	96080	P26928	HGFL_MOUSE	none	none	Histone modification	none	17320507	none	histone	none	none	none	none
372	MTA1	none	7410	metastasis associated 1	9112	Q13330	MTA1_HUMAN	"BAH PF01426 4-164, ELM2 PF01448 167-221, GATA PF00320 393-430"	Mta1	2150037	Q8K4B0	MTA1_MOUSE	GATAD	GATA zinc finger domain containing	Chromatin remodeling cofactor	none	9885572	NuRD	chromatin	none	none	none	9885572
373	MTA2	none	7411	"metastasis associated 1 family, member 2"	9219	O94776	MTA2_HUMAN	"BAH PF01426 4-144, ELM2 PF01448 147-201, GATA PF00320 367-404, Pfam-B_3593 PB003593 571-637"	Mta2	1346340	Q9R190	MTA2_MOUSE	GATAD	GATA zinc finger domain containing	Histone modification erase cofactor	Histone acetylation	10444591	NuRD	histone	none	none	none	10444591
374	MTA3	none	23784	"metastasis associated 1 family, member 3"	57504	Q9BTC8	MTA3_HUMAN	"BAH PF01426 4-147, ELM2 PF01448 150-204, GATA PF00320 379-416, Pfam-B_11869 PB011869 421-489, Pfam-B_22870 PB022870 491-520"	Mta3	2151172	Q924K8	MTA3_MOUSE	GATAD	GATA zinc finger domain containing	Chromatin remodeling cofactor	none	12705869	NuRD	chromatin	none	none	none	12705869
375	MTF2	New	29535	metal response element binding transcription factor 2	22823	Q9Y483	MTF2_HUMAN	"Mtf2_C PF14061 542-592, PHD PF00628 104-157"	Mtf2	105050	Q02395	MTF2_MOUSE	"TDRD, PHF"	"Tudor domain containing, ""Zinc fingers, PHD-type"""	Polycomb group (PcG) protein	none	21881606	PRC2	histone	H3K36me3	none	none	21881606
376	MUM1	none	29641	melanoma associated antigen (mutated) 1	84939	Q2TAK8	MUM1_HUMAN	Pfam-B_7774 PB007774 1-232	Mum1	1915364	Q6DID5	MUM1_MOUSE	none	none	Histone modification read	none	217205545	none	histone	"H3K36me, K3K79me, H4K20me"	none	none	217205545
377	MYBBP1A	none	7546	MYB binding protein (P160) 1a	10514	Q9BQG0	MBB1A_HUMAN	DNA_pol_phi PF04931 70-836	Mybbp1a	106181	Q7TPV4	MBB1A_MOUSE	none	none	Chromatin remodeling cofactor	none	16603771	B-WICH	chromatin	none	none	none	16603771
378	MYO1C	none	7597	myosin IC	4641	O00159	MYO1C_HUMAN	"IQ PF00612 735-755 758-777, Myosin_TH1 PF06017 873-1059, Myosin_head PF00063 48-718"	Myo1c	106612	Q9WTI7	MYO1C_MOUSE	MYOI	Myosins / Myosin superfamily : Class I	Chromatin remodeling cofactor	none	16603771	B-WICH	chromatin	none	none	none	16603771
379	MYSM1	none	29401	"Myb-like, SWIRM and MPN domains 1"	114803	Q5VVJ2	MYSM1_HUMAN	"JAB PF01398 572-682, Myb_DNA-binding PF00249 118-163, Pfam-B_30622 PB030622 691-736, SWIRM PF04433 372-461"	Mysm1	2444584	Q69Z66	MYSM1_MOUSE	none	none	Histone modification erase	Histone ubiquitination	17707232	none	histone	H2Aub	H2A	none	17707232
380	NAA60	none	25875	"N(alpha)-acetyltransferase 60, NatF catalytic subunit"	79903	Q9H7X0	NAA60_HUMAN	Acetyltransf_1 PF00583 57-156	Naa60	1922013	Q9DBU2	NAA60_MOUSE	NAA	N(alpha)-acetyltransferase subunits	Histone modification write	Histone acetylation	21981917	none	histone	"H4K20, H4K79, H4K91"	"H4K20ac, H4K79ac, H4K91ac"	none	21981917
381	NAP1L1	none	7637	nucleosome assembly protein 1-like 1	4673	P55209	NP1L1_HUMAN	NAP PF00956 75-346	Nap1l1	1855693	P28656	NP1L1_MOUSE	none	none	Histone chaperone	none	18226242	none	histone	none	none	none	18226242
382	NAP1L2	New	7638	nucleosome assembly protein 1-like 2	4674	Q9ULW6	NP1L2_HUMAN	NAP PF00956 109-412	Nap1l2	106654	P51860	NP1L2_MOUSE	none	none	Histone modification cofactor	none	"21333655, 17591696"	none	histone	"H3, H4"	none	none	none
383	NAP1L4	New	7640	nucleosome assembly protein 1-like 4	4676	Q99733	NP1L4_HUMAN	NAP PF00956 64-339	Nap1l4	1316687	Q78ZA7	NP1L4_MOUSE	none	none	Histone modification cofactor	none	21333655	none	histone	"H3, H4"	none	none	none
384	NASP	none	7644	nuclear autoantigenic sperm protein (histone-binding)	4678	P49321	NASP_HUMAN	"SHNi-TPR PF10516 542-579, TPR_1 PF00515 584-617"	Nasp	1355328	Q99MD9	NASP_MOUSE	TTC	Tetratricopeptide (TTC) repeat domain containing	Chromatin remodeling	none	8724350	none	histone	H1	none	none	8724350
385	NAT10	none	29830	N-acetyltransferase 10 (GCN5-related)	55226	Q9H0A0	NAT10_HUMAN	"DUF1726 PF08351 107-201, GNAT_acetyltr_2 PF13718 528-753, Helicase_RecD PF05127 281-488, tRNA_bind_2 PF13725 771-892"	Nat10	2138939	Q8K224	NAT10_MOUSE	none	none	Histone modification write	Histone acetylation	14592445	none	histone	none	none	none	14592445
386	NBN	New	7652	nibrin	4683	O60934	NBN_HUMAN	"FHA PF00498 24-100, Nbs1_C PF08599 682-746"	Nbn	1351625	Q9R207	NBN_MOUSE	none	none	Chromatin remodeling	none	19338747	none	histone	H2AX	none	none	none
387	NCL	none	7667	nucleolin	4691	P19338	NUCL_HUMAN	"Pfam-B_12581 PB012581 1-59, RRM_1 PF00076 309-377 395-460 488-554 574-641"	Ncl	97286	P09405	NUCL_MOUSE	RBM	RNA binding motif (RRM) containing	Histone chaperone	none	16601700	none	"histone, DNA, RNA"	"DNA motif, RNA motif"	none	none	"16601700, 15371412"
388	NCOA1	none	7668	nuclear receptor coactivator 1	8648	Q15788	NCOA1_HUMAN	"DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708"	Ncoa1	1276523	P70365	NCOA1_MOUSE	"KAT, bHLH"	"Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins"	Histone modification write	Histone acetylation	9296499	none	histone	"H3, H4"	none	none	9296499
389	NCOA2	none	7669	nuclear receptor coactivator 2	10499	Q15596	NCOA2_HUMAN	"DUF1518 PF07469 1281-1338, Nuc_rec_co-act PF08815 1071-1117, PAS PF00989 115-215, PAS_11 PF14598 267-379, SRC-1 PF08832 636-709"	Ncoa2	1276533	Q61026	NCOA2_MOUSE	"KAT, bHLH"	"Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins"	Chromatin remodeling cofactor	none	9590696	none	chromatin	none	none	none	9590696
390	NCOA3	none	7670	nuclear receptor coactivator 3	8202	Q9Y6Q9	NCOA3_HUMAN	"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704"	Ncoa3	1276535	O09000	NCOA3_MOUSE	"KAT, bHLH"	"Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins"	Histone modification write	Histone acetylation	9267036	none	histone	none	none	none	9267036
391	NCOA6	none	15936	nuclear receptor coactivator 6	23054	Q14686	NCOA6_HUMAN	"Nucleic_acid_bd PF13820 45-195, Pfam-B_14375 PB014375 987-1511, Pfam-B_3537 PB003537 407-669"	Ncoa6	1929915	Q9JL19	NCOA6_MOUSE	none	none	Histone modification write cofactor	Histone methylation	17500065	"CHD8, MLL2/3, COMPASS-like MLL3,4"	histone	none	none	none	17500065
392	NCOR1	New	7672	nuclear receptor corepressor 1	9611	O75376	NCOR1_HUMAN	"Myb_DNA-binding PF00249 625-670, Pfam-B_4054 PB004054 1242-1723, Pfam-B_670 PB000670 1725-1983, Pfam-B_7837 PB007837 1-159"	Ncor1	1349717	Q60974	NCOR1_MOUSE	none	none	Histone modification erase cofactor	Histone acetylation	14527417	none	histone	none	none	none	none
393	NCOR2	New	7673	nuclear receptor corepressor 2	9612	Q9Y618	NCOR2_HUMAN	"Myb_DNA-binding PF00249 612-657, Pfam-B_1539 PB001539 271-430"	Ncor2	1337080	Q9WU42	NCOR2_MOUSE	none	none	Histone modification erase cofactor	Histone acetylation	"14527417, 25006126"	none	none	none	none	none	none
394	NEK6	none	7749	NIMA-related kinase 6	10783	Q9HC98	NEK6_HUMAN	Pkinase PF00069 45-306	Nek6	1891638	Q9ES70	NEK6_MOUSE	none	none	Histone modification write	Histone phosphorylation	12054534	none	histone	"H1, H3"	"H1ph, H3ph"	none	12054534
395	NEK9	none	18591	NIMA-related kinase 9	91754	Q8TD19	NEK9_HUMAN	"Pfam-B_22064 PB022064 309-349, Pkinase PF00069 52-308, RCC1 PF00415 390-441 444-495 499-547 615-665"	Nek9	2387995	Q8K1R7	NEK9_MOUSE	none	none	Histone modification write	Histone phosphorylation	14660563	none	histone	H1	H1ph	none	14660563
396	NFRKB	none	7802	nuclear factor related to kappaB binding protein	4798	Q6P4R8	NFRKB_HUMAN	"NFRKB_winged PF14465 379-478, Pfam-B_18306 PB018306 610-661"	Nfrkb	2442410	Q6PIJ4	NFRKB_MOUSE	INO80	INO80 complex subunits	"Chromatin remodeling cofactor, TF"	none	16230350	Ino80	DNA	DNA motif	none	none	16230350
397	NFYB	none	7805	"nuclear transcription factor Y, beta"	4801	P25208	NFYB_HUMAN	"CBFD_NFYB_HMF PF00808 57-122, Pfam-B_17851 PB017851 1-39"	Nfyb	97317	P63139	NFYB_MOUSE	none	none	"Chromatin remodeling, TF"	TF activator	"15243141, 23332751"	none	DNA	DNA motif	none	none	23332751
398	NFYC	New	7806	"nuclear transcription factor Y, gamma"	4802	Q13952	NFYC_HUMAN	"CBFD_NFYB_HMF PF00808 41-105, Pfam-B_8767 PB008767 141-201"	Nfyc	107901	P70353	NFYC_MOUSE	none	none	Histone modification	none	21445285	none	histone	none	none	none	none
399	NIPBL	New	28862	Nipped-B homolog (Drosophila)	25836	Q6KC79	NIPBL_HUMAN	"Cohesin_HEAT PF12765 1794-1835, Nipped-B_C PF12830 2274-2457, Pfam-B_338 PB000338 1292-1355, Pfam-B_4450 PB004450 1859-2018, Pfam-B_5032 PB005032 2020-2194"	Nipbl	1918425	Q6KCD5	NIPBL_MOUSE	none	none	Histone modification erase cofactor	Histone acetylation	"25255084, 18854353"	none	none	none	none	none	none
400	NOC2L	none	24517	nucleolar complex associated 2 homolog (S. cerevisiae)	26155	Q9Y3T9	NOC2L_HUMAN	"Noc2 PF03715 325-623, Pfam-B_22168 PB022168 62-101, Pfam-B_2429 PB002429 644-713, Pfam-B_50064 PB050064 1-31"	Noc2l	1931051	Q9WV70	NOC2L_MOUSE	none	none	"Chromatin remodeling, TF"	TF repressor	15100215	none	histone	H3	none	none	15100215
401	NPAS2	none	7895	neuronal PAS domain protein 2	4862	Q99743	NPAS2_HUMAN	"HLH PF00010 10-59, PAS PF00989 84-176, PAS_11 PF14598 248-356"	Npas2	109232	P97460	NPAS2_MOUSE	bHLH	Basic helix-loop-helix proteins	"Chromatin remodeling, TF"	TF activator	"14645221, 24196956"	none	DNA	DNA motif	none	none	14645221
402	NPM1	New	7910	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"	4869	P06748	NPM_HUMAN	Nucleoplasmin PF03066 13-196	Npm1	106184	Q61937	NPM_MOUSE	none	none	Histone chaperone	none	25349213	none	histone	"H3, H2B, H4"	none	none	none
403	NPM2	New	7930	nucleophosmin/nucleoplasmin 2	10361	Q86SE8	NPM2_HUMAN	TSP_1 PF00090 161-209 213-267 271-316 319-374	Npm2	1890811	Q80W85	NPM2_MOUSE	none	none	Histone chaperone	none	21863821	none	histone	"H2A, H2B"	none	none	none
404	NSD1	none	14234	nuclear receptor binding SET domain protein 1	64324	Q96L73	NSD1_HUMAN	"PHD PF00628 1709-1751, PWWP PF00855 321-419 1754-1844, Pfam-B_7228 PB007228 821-937, SET PF00856 1953-2059"	Nsd1	1276545	O88491	NSD1_MOUSE	"KMT, PHF"	"Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type"	Histone modification write	Histone methylation	21196496	none	histone	"H3K36, H4K20"	"H3K36me, H4K20me"	none	21196496
405	NSL1	none	24548	"NSL1, MIS12 kinetochore complex component"	25936	Q96IY1	NSL1_HUMAN	Mis14 PF08641 67-211	Nsl1	2685830	Q8K305	NSL1_MOUSE	none	none	Histone modification write cofactor	Histone acetylation	20018852	none	histone	H4K16	H4K16ac	none	20018852
406	OGT	none	8127	O-linked N-acetylglucosamine (GlcNAc) transferase	8473	O15294	OGT1_HUMAN	"Glyco_transf_41 PF13844 556-1024, TPR_1 PF00515 89-122 191-224 225-258 259-292 293-326 327-360 361-394 395-428 429-462, TPR_11 PF13414 87-154, TPR_8 PF13181 160-190"	Ogt	1339639	Q8CGY8	OGT1_MOUSE	TTC	Tetratricopeptide (TTC) repeat domain containing	Histone modification write	Histone GlcNAcylation	22121020	NSL	histone	H2BS112	H2BS112GlcNa	none	22121020
407	PADI1	none	18367	"peptidyl arginine deiminase, type I"	29943	Q9ULC6	PADI1_HUMAN	"PAD PF03068 276-663, PAD_M PF08527 115-273, PAD_N PF08526 1-113"	Padi1	1338893	Q9Z185	PADI1_MOUSE	PADI	Peptidyl arginine deiminases	Histone modification	Histone citrullination	15087120	none	histone	"H2AR, H3R, H4R"	"H2ARci, H3Rci, H4Rci"	none	15087120
408	PADI2	none	18341	"peptidyl arginine deiminase, type II"	11240	Q9Y2J8	PADI2_HUMAN	"PAD PF03068 279-665, PAD_M PF08527 116-274, PAD_N PF08526 1-114"	Padi2	1338892	Q08642	PADI2_MOUSE	PADI	Peptidyl arginine deiminases	Histone modification	Histone citrullination	15087120	none	histone	"H2AR, H3R, H4R"	"H2ARci, H3Rci, H4Rci"	none	15087120
409	PADI3	none	18337	"peptidyl arginine deiminase, type III"	51702	Q9ULW8	PADI3_HUMAN	"PAD PF03068 278-664, PAD_M PF08527 115-273, PAD_N PF08526 1-113"	Padi3	1338891	Q9Z184	PADI3_MOUSE	PADI	Peptidyl arginine deiminases	Histone modification	Histone citrullination	15087120	none	histone	"H2AR, H3R, H4R"	"H2ARci, H3Rci, H4Rci"	none	15087120
410	PADI4	none	18368	"peptidyl arginine deiminase, type IV"	23569	Q9UM07	PADI4_HUMAN	"PAD PF03068 278-663, PAD_M PF08527 113-273, PAD_N PF08526 1-111"	Padi4	1338898	Q9Z183	PADI4_MOUSE	PADI	Peptidyl arginine deiminases	Histone modification	Histone citrullination	15339660	none	histone	"H2AR, H3R2, H3R8, H3R17, H3R26, H4R"	"H2ARci, H3R2ci, H3R8ci, H3R17ci, H3R26ci, H4Rci"	none	15339660
411	PAF1	New	25459	"Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)"	54623	Q8N7H5	PAF1_HUMAN	Paf1 PF03985 27-446	Paf1	1923988	Q8K2T8	PAF1_MOUSE	none	none	Histone modification write cofactor	Histone ubiquitination	16307923	none	histone	"H2, H3"	none	none	none
412	PAGR1	none	28707	PAXIP1 associated glutamate-rich protein 1	79447	Q9BTK6	PAGR1_HUMAN	PAXIP1_C PF15364 86-221	2900092E17Rik	1914528	Q99L02	PAGR1_MOUSE	none	none	"Histone modification write cofactor, Histone modification write cofactor"	"Histone methylation, Histone acetylation"	17500065	"CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4"	histone	none	none	none	17500065
413	PAK2	none	8591	p21 protein (Cdc42/Rac)-activated kinase 2	5062	Q13177	PAK2_HUMAN	"PBD PF00786 73-131, Pkinase PF00069 249-500"	Pak2	1339984	Q8CIN4	PAK2_MOUSE	none	none	Histone modification write	Histone phosphorylation	21724829	none	histone	H4S47	H4S47ph	none	21724829
414	PARG	none	8605	poly (ADP-ribose) glycohydrolase	8505	Q86W56	PARG_HUMAN	"PARG_cat PF05028 577-912, Pfam-B_14007 PB014007 925-955"	Parg	1347094	O88622	PARG_MOUSE	none	none	Chromatin remodeling	none	"23102699, 21398629"	none	histone	H3K9	none	none	"23102699, 21398629"
415	PARP1	none	270	poly (ADP-ribose) polymerase 1	142	P09874	PARP1_HUMAN	"BRCT PF00533 385-462, PADR1 PF08063 279-332, PARP PF00644 797-1007, PARP_reg PF02877 662-795, WGR PF05406 549-633, zf-PARP PF00645 12-90 116-200"	Parp1	1340806	P11103	PARP1_MOUSE	PARP	Poly (ADP-ribose) polymerases	Chromatin remodeling	none	"20926656, 17177976, 17396150"	none	histone	H1	none	none	20926656
416	PARP2	none	272	poly (ADP-ribose) polymerase 2	10038	Q9UGN5	PARP2_HUMAN	"PARP PF00644 365-577, PARP_reg PF02877 231-363, WGR PF05406 111-195"	Parp2	1341112	O88554	PARP2_MOUSE	PARP	Poly (ADP-ribose) polymerases	Chromatin remodeling cofactor	none	20092359	none	none	none	none	none	20092359
417	PARP3	none	273	"poly (ADP-ribose) polymerase family, member 3"	10039	Q9Y6F1	PARP3_HUMAN	"PARP PF00644 322-533, PARP_reg PF02877 182-320, WGR PF05406 62-144"	Parp3	1891258	none	none	PARP	Poly (ADP-ribose) polymerases	Polycomb group (PcG) protein	none	16924674	none	none	none	none	none	16924674
418	PAXIP1	none	8624	PAX interacting (with transcription-activation domain) protein 1	22976	Q6ZW49	PAXI1_HUMAN	"BRCT PF00533 601-681 701-776 867-934, PTCB-BRCT PF12738 102-165, Pfam-B_13490 PB013490 1009-1064, Pfam-B_16838 PB016838 485-548"	Paxip1	1890430	Q6NZQ4	PAXI1_MOUSE	none	none	Histone modification write cofactor	Histone methylation	17178841	"CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4"	histone	H3K4	H3K4me3	none	17178841
419	PBK	New	18282	PDZ binding kinase	55872	Q96KB5	TOPK_HUMAN	Pkinase PF00069 33-318	Pbk	1289156	Q9JJ78	TOPK_MOUSE	none	none	Histone modification write	Histone phosphorylation	16982762	none	histone	H3S10	H3S10ph	none	none
420	PBRM1	none	30064	polybromo 1	55193	Q86U86	PB1_HUMAN	"BAH PF01426 956-1074 1156-1272, Bromodomain PF00439 54-139 186-275 392-475 532-613 666-750 785-867, HMG_box PF00505 1379-1446"	Pbrm1	1923998	Q8BSQ9	PB1_MOUSE	none	none	Histone modification read	none	22464331	"PBAF, SWI/SNF BRM-BRG1"	histone	H3	none	none	22464331
421	PCGF1	none	17615	polycomb group ring finger 1	84759	Q9BSM1	PCGF1_HUMAN	zf-C3HC4 PF00097 47-85	Pcgf1	1917087	Q8R023	PCGF1_MOUSE	"RNF, PCGF"	"RING-type (C3HC4) zinc fingers, Polycomb group ring fingers"	Polycomb group (PcG) protein	none	15620699	"PRC1, BCOR"	none	none	none	none	15620699
422	PCGF2	none	12929	polycomb group ring finger 2	7703	P35227	PCGF2_HUMAN	zf-C3HC4 PF00097 18-56	Pcgf2	99161	P23798	PCGF2_MOUSE	"RNF, PCGF"	"RING-type (C3HC4) zinc fingers, Polycomb group ring fingers"	Polycomb group (PcG) protein	none	21282530	PRC1	none	none	none	none	21282530
423	PCGF3	none	10066	polycomb group ring finger 3	10336	Q3KNV8	PCGF3_HUMAN	zf-C3HC4 PF00097 17-55	Pcgf3	1916837	Q8BTQ0	PCGF3_MOUSE	"RNF, PCGF"	"RING-type (C3HC4) zinc fingers, Polycomb group ring fingers"	Polycomb group (PcG) protein	none	21282530	"PRC1, RING2-FBRS"	none	none	none	none	21282530
424	PCGF5	none	28264	polycomb group ring finger 5	84333	Q86SE9	PCGF5_HUMAN	zf-C3HC4 PF00097 18-56	Pcgf5	1923505	Q3UK78	PCGF5_MOUSE	"RNF, PCGF"	"RING-type (C3HC4) zinc fingers, Polycomb group ring fingers"	Polycomb group (PcG) protein	none	21282530	"PRC1, RING2-FBRS"	none	none	none	none	21282530
425	PCGF6	none	21156	polycomb group ring finger 6	84108	Q9BYE7	PCGF6_HUMAN	zf-C3HC4 PF00097 134-172	Pcgf6	1918291	Q99NA9	PCGF6_MOUSE	"RNF, PCGF"	"RING-type (C3HC4) zinc fingers, Polycomb group ring fingers"	Polycomb group (PcG) protein	none	21282530	"PRC1, RING2-L3MBTL2"	none	none	none	none	21282530
426	PCNA	none	8729	proliferating cell nuclear antigen	5111	P12004	PCNA_HUMAN	"PCNA_C PF02747 127-254, PCNA_N PF00705 1-125"	Pcna	97503	P17918	PCNA_MOUSE	none	none	Chromatin remodeling	none	12786946	none	histone	"H2A, H2B"	none	none	12786946
